"Module","Methods","Stable","Partial","Unstable","Any","Vararg","Generic","TcFail","NoFuel","Version","Commit","Message","Date","DeltaMethods","DeltaUnstable"
"ModelingToolkit",360,159,12,29,135,13,11,0,1,"ModelingToolkit@2.0.0","868e59e50","Merge branch 'docs'","2020-04-13 08:40:51 -0400",0,-1
"ModelingToolkit",705,203,97,54,292,28,31,0,0,"ModelingToolkit@5.3.0","c107932bf","Add @add_kwonly to PDESystem (#768)","2021-02-05 19:45:38 +0300",0,1
"ModelingToolkit",417,25,67,53,221,22,29,0,0,"ModelingToolkit@5.12.1","f42e3f885","Merge pull request #859 from SciML/jacobian","2021-03-05 07:19:50 -0500",0,-2
"ModelingToolkit",417,24,67,54,221,22,29,0,0,"ModelingToolkit@5.13.0","626009820","Merge pull request #861 from SciML/myb/ex","2021-03-06 20:09:20 -0500",0,1
"ModelingToolkit",414,23,63,55,222,22,29,0,0,"ModelingToolkit@5.13.1","fefe559e6","Merge pull request #888 from SciML/myb/varmap","2021-03-14 22:33:10 -0400",0,1
"ModelingToolkit",427,26,61,60,225,26,29,0,0,"ModelingToolkit@5.14.0","7e7fb1740","Merge pull request #943 from SciML/s/param","2021-04-02 14:46:42 -0400",0,1
"ModelingToolkit",412,19,55,59,225,26,28,0,0,"ModelingToolkit@5.14.2","24d5041a6","Merge pull request #935 from SciML/myb/ss","2021-04-11 14:29:39 -0400",0,-1
"ModelingToolkit",513,27,70,70,280,30,36,0,0,"ModelingToolkit@5.22.0","bbc88969e","Merge pull request #1118 from SciML/myb/imp","2021-07-13 05:44:03 -0400",0,-1
"ModelingToolkit",568,24,79,77,319,29,39,0,1,"ModelingToolkit@6.0.0","8d5661f4d","fix PDESystem REPL (#1181)","2021-08-09 22:19:32 +0300",0,2
"ModelingToolkit",1191,101,185,151,632,44,67,0,11,"ModelingToolkit@8.47.0","25099f8fa","Fix Barreiss algorithm (#2089)","2023-02-21 19:30:39 -0500",0,1
