Commit,Message,Date,Version,Module,Methods,Stable,Partial,Unstable,Any,Vararg,Generic,TcFail,NoFuel,DeltaMethods,DeltaUnstable
cd1ee47a,Merge pull request #2061 from daschw/ratio,2019-06-14 17:36:54 +0200,0.25.1,Plots,1570,451,189,117,371,219,207,2,14,0,-7
6b0e45c4,Merge pull request #2230 from daschw/colorbar,2019-10-29 09:12:07 +0100,0.27.0,Plots,1586,458,187,119,390,223,192,4,13,0,1
172193e7,Merge pull request #2292 from daschw/orca,2019-11-30 17:11:48 +0100,0.28.1,Plots,1606,471,190,125,381,222,208,2,7,0,1
20a29079,Merge pull request #2388 from daschw/akw,2020-02-09 09:26:00 +0100,0.29.0,Plots,1640,455,208,126,411,222,207,2,9,0,1
a301366e,Merge remote-tracking branch 'upstream/master',2020-03-07 10:53:02 +0100,0.29.6,Plots,1644,464,207,125,419,225,191,4,9,0,-1
2e53c571,bump GR version,2020-05-29 16:49:51 +0200,1.3.3,Plots,1577,430,198,123,402,227,176,2,19,0,-3
bece65e9,Update Project.toml,2020-07-15 21:17:25 +0200,1.5.4,Plots,1576,435,198,125,409,215,176,2,16,0,1
e3d13aa1,Merge pull request #3436 from gustaphe/master,2021-04-28 18:40:57 +0200,1.13.2,Plots,1663,428,208,137,462,221,174,2,31,0,1
ce530ef5,fix vector of shapes (#3517),2021-05-20 20:42:31 +0200,1.15.1,Plots,1664,428,208,136,463,221,174,2,32,0,-1
019a742c,Respect :widen when passing :lims (#3552),2021-06-07 11:46:49 -0700,1.16.3,Plots,1664,427,208,137,463,221,174,2,32,0,1
6fa3dae1,Fix type inference failure in `get_clims` (#3838),2021-09-22 13:18:57 -0400,1.22.1,Plots,1708,452,211,136,475,226,174,2,32,0,-2
6baa1202,fix transposing in plotlyjs (#3953),2021-11-26 09:59:44 +0100,1.24.1,Plots,1713,448,214,139,479,226,174,2,31,0,1
79cf62cf,Upgrade plotly.js to v2.6.3 (#3958),2021-12-01 20:45:23 +0800,1.24.3,Plots,1713,449,214,138,479,226,174,2,31,0,-1
95d1fa00,Set max_methods=1 (#4010),2021-12-29 07:31:29 -0500,1.25.3,Plots,1710,427,213,158,479,226,174,2,31,0,21
7dcda22e,filepath type agnostic `savefig` (#4309),2022-08-16 18:34:15 +0200,1.31.7,Plots,1771,440,229,159,508,236,164,2,33,0,-6
1df65c0d,add fuzzy finding attributes (#4346),2022-09-15 10:02:39 +0200,1.33.0,Plots,1778,444,228,161,511,236,163,2,33,0,1
