"Commit","Message","Date","Version","Module","Methods","Stable","Partial","Unstable","Any","Vararg","Generic","TcFail","NoFuel","MethodsDelta","UnstableDelta"
"45d4efe0","#6 Proposals take model trace as 1st arg; Gibbs sampling example","2018-09-03 16:48:39 -0400","0.1.0","Gen",535,143,105,22,162,1,102,0,0,0,-2
"e5338755","Merge pull request #177 from georgematheos/20200107-georgematheos-faststaticlookup","2020-01-22 19:01:06 -0500","0.3.2","Gen",740,204,151,16,204,3,161,0,1,0,-1
"52b94a71","Merge pull request #337 from femtomc/20201118_mrb_randomchoicenodes_fix","2020-11-18 19:48:22 -0500","0.3.5","Gen",906,262,184,18,276,3,162,0,1,0,-1
"04b177d6","💕 Two-way communication & fMIME formatting","2020-02-24 00:47:06 +0100","0.1.0","Saturn",9,6,0,1,2,0,0,0,0,0,-1
"a01a6e70","HTTP.jl 0.9 (#761)","2020-12-09 23:29:17 +0100","0.12.16","Pluto",142,54,12,7,53,11,2,0,3,0,-1
"5205bf5b","🏎 Prevent SessionActions.shutdown from allowing a sneaky restart later","2022-03-01 17:56:26 +0100","0.18.1","Pluto",251,120,19,23,62,15,9,0,3,0,-3
"879822a6","log message tweak","2022-05-09 16:27:10 +0200","0.19.3","Pluto",267,127,20,28,64,16,9,0,3,0,-1
"cd1ee47a","Merge pull request #2061 from daschw/ratio","2019-06-14 17:36:54 +0200","0.25.1","Plots",1570,451,189,117,371,219,207,2,14,0,-7
"a301366e","Merge remote-tracking branch 'upstream/master'","2020-03-07 10:53:02 +0100","0.29.6","Plots",1644,464,207,125,419,225,191,4,9,0,-1
"2e53c571","bump GR version","2020-05-29 16:49:51 +0200","1.3.3","Plots",1577,430,198,123,402,227,176,2,19,0,-3
"ce530ef5","fix vector of shapes (#3517)","2021-05-20 20:42:31 +0200","1.15.1","Plots",1664,428,208,136,463,221,174,2,32,0,-1
"6fa3dae1","Fix type inference failure in `get_clims` (#3838)","2021-09-22 13:18:57 -0400","1.22.1","Plots",1708,452,211,136,475,226,174,2,32,0,-2
"79cf62cf","Upgrade plotly.js to v2.6.3 (#3958)","2021-12-01 20:45:23 +0800","1.24.3","Plots",1713,449,214,138,479,226,174,2,31,0,-1
"7dcda22e","filepath type agnostic `savefig` (#4309)","2022-08-16 18:34:15 +0200","1.31.7","Plots",1771,440,229,159,508,236,164,2,33,0,-6
"04735d26","Merge pull request #2070 from JuliaOpt/bl/@container","2019-10-04 10:27:14 +0200","0.20.0","JuMP",606,166,118,28,163,25,99,2,5,0,-2
"c66b5b20","[breaking] remove PrintMode instead of explicit MIME types (#2874)","2022-02-23 11:13:21 +1300","1.0.0-DEV","JuMP",673,252,113,37,162,11,93,2,3,0,-1
"cbf6ffdf","Add support for get/set of attributes in optimizer_with_attributes (#3129)","2022-11-24 10:32:25 +1300","1.4.0","JuMP",725,263,136,35,167,11,106,3,4,0,-1
